best_epoch,cell,checkpoint_metric,dataset,n_params,seed,split,test_AUC-ROC,test_P@50,test_P@N2,test_PR-AUC,test_accuracy,test_macro-F1,val_AUC-ROC,val_P@50,val_P@N2,val_PR-AUC,val_accuracy,val_macro-F1,wall_time_sec
17,09,accuracy,ddibn,340817,124,S0,0.985415,0.993684,0.937297,0.987717,0.934318,0.934903,0.981923,0.985837,0.933683,0.984526,0.933806,0.934494,4578.4
3,09,accuracy,ddibn,340817,124,S1,0.828557,0.949091,0.728055,0.830485,0.548231,0.178782,0.837964,0.953493,0.738343,0.839972,0.543871,0.160193,4578.4
1,09,accuracy,ddibn,340817,124,S2,0.496704,0.502488,0.494978,0.524605,0.5,0.0,0.485599,0.500957,0.489947,0.510085,0.5,0.0,4578.4
62,10,accuracy,ddibn,401618,0,S0,0.957597,0.972823,0.888865,0.962409,0.892127,0.888544,0.955578,0.959043,0.889197,0.959395,0.88725,0.883442,1842.5
66,10,accuracy,ddibn,401618,0,S1,0.670563,0.778278,0.632098,0.673304,0.59046,0.400172,0.685881,0.754354,0.641756,0.681442,0.583169,0.375026,1842.5
66,10,accuracy,ddibn,401618,0,S2,0.631966,0.515885,0.603751,0.660184,0.573828,0.325965,0.596276,0.515789,0.580964,0.616394,0.549783,0.311388,1842.5
,v1zs_gemma27b,AUC-ROC(LLM-zs),ddibn,,,S0,0.496595,0.501364,0.496595,,,,3600.0
28,09,accuracy,ddibn,340817,0,S0,0.984495,0.987751,0.941819,0.985548,0.935777,0.9369,0.984089,0.988421,0.940784,0.986951,0.938903,0.939371,7412.1
78,09,accuracy,ddibn,340817,0,S1,0.79049,0.924976,0.714987,0.802085,0.552901,0.194133,0.795781,0.925072,0.720124,0.804996,0.547937,0.178972,7412.1
72,09,accuracy,ddibn,340817,0,S2,0.513832,0.498756,0.483055,0.591218,0.504789,0.020261,0.503419,0.503923,0.489444,0.530693,0.501445,0.007143,7412.1
29,09,accuracy,ddibn,340817,42,S0,0.98751,0.993971,0.947901,0.989158,0.946358,0.946362,0.983936,0.987368,0.939537,0.986611,0.941458,0.941433,7648.5
80,09,accuracy,ddibn,340817,42,S1,0.818777,0.942775,0.729719,0.823193,0.548493,0.179664,0.83612,0.9489,0.74557,0.840024,0.544664,0.163857,7648.5
